ENTITY_CD,SCHOOL_NAME,YEAR,DISTRICT_CD,DISTRICT_NAME,CSO_NAME,STREET,CITY,PHONE,GRADE_RANGE,NUM_TEACH,NUM_NO_VALID_CERT,PER_NO_VALID_CERT,NUM_TEACH_OUT_CERT,PER_TEACH_OUT_CERT,NUM_FEWER_3YRS_EXP,PER_FEWER_3YRS_EXP,NUM_MAS_PLUS,PER_MAS_PLUS,NUM_CORE,PER_NOT_HQ,NUM_CLASS,NUM_NO_APPROP_CERT,PER_NO_APPROP_CERT,PER_TURN_FIVE_YRS,PER_TURN_ALL,NUM_FT_OTH_PROF_STAFF,NUM_PT_OTH_PROF_STAFF,NUM_FT_PARAPROFESSIONALS,NUM_PT_PARAPROFESSIONALS,NUM_FT_ASST_PRINCIPALS,NUM_PT_ASST_PRINCIPALS,NUM_FT_PRINCIPALS,NUM_PT_PRINCIPALS
010100010018,DELAWARE COMMUNITY SCHOOL,2010,01010001,ALBANY CITY SD,THOMAS GIGLIO,43 BERTHA ST,ALBANY,5184756750,PK-5,32,0,0,0,0,0,0,4,13,37,0,50,0,0,20,13,3,4,0,0,2,0,1,0
010100010018,DELAWARE COMMUNITY SCHOOL,2011,01010001,ALBANY CITY SD,THOMAS GIGLIO,43 BERTHA ST,ALBANY,5184756750,PK-5,31,0,0,0,0,0,0,4,13,34,0,49,0,0,0,6,3,2,0,0,0,0,1,0
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2009,01010001,ALBANY CITY SD,GREGORY JONES,369 NEW SCOTLAND AVE,ALBANY,5184756775,PK-5,36,0,0,0,0,0,0,6,17,40,0,67,1,1,67,13,3,0,0,0,0,0,1,0
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2010,01010001,ALBANY CITY SD,GREGORY JONES,369 NEW SCOTLAND AVE,ALBANY,5184756775,PK-5,33,0,0,1,3,0,0,5,15,25,4,49,2,4,0,11,1,0,0,0,0,0,1,0
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2011,01010001,ALBANY CITY SD,GREGORY JONES,369 NEW SCOTLAND AVE,ALBANY,5184756775,PK-5,35,0,0,0,0,0,0,3,9,23,0,57,0,0,0,9,0,0,0,0,0,0,1,0
010100010020,NORTH ALBANY ACADEMY,2009,01010001,ALBANY CITY SD,DALE GETTO,570 N PEARL ST,ALBANY,5184756800,PK-8,39,1,3,2,5,2,5,3,8,74,1,104,7,7,14,10,3,0,0,0,1,0,1,0
010100010020,NORTH ALBANY ACADEMY,2010,01010001,ALBANY CITY SD,DALE GETTO,570 N PEARL ST,ALBANY,5184756800,PK-8,38,0,0,1,3,0,0,3,8,87,6,124,6,5,43,21,2,0,0,0,1,0,1,0
010100010020,NORTH ALBANY ACADEMY,2011,01010001,ALBANY CITY SD,LESLEY BUFF,570 N PEARL ST,ALBANY,5184756800,PK-8,36,0,0,1,3,1,3,3,8,62,0,106,7,7,0,18,5,0,0,0,1,0,1,0
010100010023,ALBANY SCHOOL OF HUMANITIES,2009,01010001,ALBANY CITY SD,ROSALYN WALLACE,108 WHITEHALL RD,ALBANY,5184627258,"PK-6, UE",44,0,0,1,2,0,0,2,5,64,3,96,2,2,0,4,4,0,0,0,1,0,1,0
010100010023,ALBANY SCHOOL OF HUMANITIES,2010,01010001,ALBANY CITY SD,ROSALYN WALLACE,108 WHITEHALL RD,ALBANY,5184627258,"PK-6, UE",46,0,0,0,0,3,7,2,4,50,0,103,0,0,0,5,3,0,0,0,1,0,1,0
010100010023,ALBANY SCHOOL OF HUMANITIES,2011,01010001,ALBANY CITY SD,ROSALYN WALLACE,108 WHITEHALL RD,ALBANY,5184627258,"PK-6, UE",36,0,0,0,0,0,0,2,6,31,0,60,0,0,,18,1,0,0,0,1,0,1,0
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2009,01010001,ALBANY CITY SD,KENDRA CHAIRES,1044 WESTERN AVE,ALBANY,5184756825,"PK-5, UE",21,0,0,1,5,0,0,2,10,19,5,25,1,4,0,16,3,0,0,0,0,0,1,0
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2010,01010001,ALBANY CITY SD,KENDRA CHAIRES,1044 WESTERN AVE,ALBANY,5184756825,"PK-6, UE",21,0,0,0,0,0,0,3,14,17,0,29,0,0,0,19,3,0,0,0,0,0,1,0
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2011,01010001,ALBANY CITY SD,KENDRA CHAIRES,1044 WESTERN AVE,ALBANY,5184756825,PK-6,21,0,0,0,0,0,0,4,19,17,0,22,0,0,0,5,1,0,0,0,0,0,1,0
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2009,01010001,ALBANY CITY SD,TIMOTHY FOWLER,94 DELAWARE AVE,ALBANY,5184756875,PK-6,42,0,0,0,0,1,2,4,10,60,0,98,1,1,0,9,3,0,0,0,0,0,1,0
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2010,01010001,ALBANY CITY SD,TIMOTHY FOWLER,94 DELAWARE AVE,ALBANY,5184756875,PK-5,35,1,3,2,6,0,0,4,11,45,2,75,3,4,0,19,16,2,0,0,0,0,1,0
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2011,01010001,ALBANY CITY SD,TIMOTHY FOWLER,94 DELAWARE AVE,ALBANY,5184756875,PK-5,37,0,0,0,0,1,3,3,8,50,0,88,0,0,0,17,19,2,0,0,0,0,1,0
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2009,01010001,ALBANY CITY SD,JUDY COLLINS,274 S PEARL ST,ALBANY,5184756650,"PK-6, UE",39,0,0,0,0,0,0,5,13,36,0,55,0,0,0,11,6,1,0,0,0,0,1,0
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2010,01010001,ALBANY CITY SD,MAXINE FANTROY-FORD,274 S PEARL ST,ALBANY,5184756650,PK-6,42,0,0,0,0,0,0,7,17,35,0,62,0,0,67,10,4,0,0,0,0,0,1,0
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2011,01010001,ALBANY CITY SD,MAXINE FANTROY-FORD,274 S PEARL ST,ALBANY,5184756650,PK-6,39,0,0,0,0,0,0,7,18,39,0,53,0,0,0,21,4,0,0,0,0,0,1,0
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2009,01010001,ALBANY CITY SD,KENNETH NEWMAN,45 DELAWARE AVE,ALBANY,5184756475,6-8,52,1,2,3,6,3,6,7,13,198,6,246,12,5,40,21,5,0,0,0,1,0,1,0
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2010,01010001,ALBANY CITY SD,MICHAEL PAOLINO,45 DELAWARE AVE,ALBANY,5184756475,6-8,70,0,0,0,0,5,7,10,14,214,0,324,5,2,11,17,9,0,0,0,1,0,1,0
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2011,01010001,ALBANY CITY SD,MICHAEL PAOLINO,45 DELAWARE AVE,ALBANY,5184756475,6-8,68,0,0,0,0,2,3,8,12,208,0,290,0,0,25,24,44,0,0,0,1,0,1,0
010100010031,PHILIP LIVINGSTON MAGNET ACADEMY,2009,01010001,ALBANY CITY SD,THOMAS GIGLIO,315 NORTHERN BLVD,ALBANY,5184627154,6-8,32,0,0,0,0,1,3,4,13,105,0,137,0,0,63,45,4,0,0,0,1,0,1,0
010100010034,ALBANY HIGH SCHOOL,2009,01010001,ALBANY CITY SD,MAXINE FANTROY-FORD,700 WASHINGTON AVE,ALBANY,5184543987,9-12,204,4,2,7,3,19,9,39,19,811,4,1016,42,4,15,10,46,0,0,0,7,0,6,0
010100010034,ALBANY HIGH SCHOOL,2010,01010001,ALBANY CITY SD,DAVID MCCALLA,700 WASHINGTON AVE,ALBANY,5184543987,9-12,196,0,0,0,0,10,5,40,20,654,0,869,2,0,26,12,34,8,0,0,5,0,5,0
010100010034,ALBANY HIGH SCHOOL,2011,01010001,ALBANY CITY SD,DAVID MCCALLA,700 WASHINGTON AVE,ALBANY,5184543987,"8-12, US",166,0,0,0,0,2,1,34,20,602,0,791,0,0,30,18,41,0,0,0,4,0,4,0
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2009,01010001,ALBANY CITY SD,ROSALIND GAINES-HARRELL,1 ARBOR DR,ALBANY,5184627166,"PK-5, UE",29,0,0,0,0,0,0,0,0,45,0,66,0,0,43,20,8,0,0,0,0,0,1,0
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2010,01010001,ALBANY CITY SD,ROSALIND GAINES-HARRELL,1 ARBOR DR,ALBANY,5184627166,PK-6,25,0,0,0,0,0,0,0,0,44,0,67,1,1,25,14,11,0,0,0,0,0,1,0
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2011,01010001,ALBANY CITY SD,ROSALIND GAINES-HARRELL,1 ARBOR DR,ALBANY,5184627166,PK-6,25,0,0,0,0,1,4,0,0,32,0,44,0,0,67,24,6,0,0,0,0,0,1,0
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2009,01010001,ALBANY CITY SD,DORINDA DAVIS,676 CLINTON AVE,ALBANY,5184756700,PK-5,27,0,0,0,0,0,0,1,4,36,0,45,0,0,0,0,0,2,0,0,0,0,1,0
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2010,01010001,ALBANY CITY SD,DORINDA DAVIS,676 CLINTON AVE,ALBANY,5184756700,PK-5,25,0,0,0,0,0,0,2,8,27,0,39,0,0,25,11,1,0,0,0,0,0,1,0
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2011,01010001,ALBANY CITY SD,DORINDA DAVIS,676 CLINTON AVE,ALBANY,5184756700,PK-5,26,0,0,0,0,0,0,2,8,23,0,35,0,0,0,0,2,1,0,0,0,0,1,0
010100010044,SHERIDAN PREPARATORY ACADEMY,2009,01010001,ALBANY CITY SD,CECILY WILSON,400 SHERIDAN AVE,ALBANY,5184756850,PK-5,31,1,3,1,3,4,13,1,3,30,3,51,1,2,0,13,3,0,0,0,0,0,1,0
010100010044,SHERIDAN PREPARATORY ACADEMY,2010,01010001,ALBANY CITY SD,CECILY WILSON,400 SHERIDAN AVE,ALBANY,5184756850,PK-5,31,0,0,0,0,1,3,1,3,36,0,65,0,0,33,13,3,0,0,0,0,0,1,0
010100010044,SHERIDAN PREPARATORY ACADEMY,2011,01010001,ALBANY CITY SD,ZULEIKA SANCHEZ-GAYLE,400 SHERIDAN AVE,ALBANY,5184756850,PK-5,29,0,0,0,0,2,7,1,3,28,0,50,0,0,0,16,3,0,0,0,0,0,1,0
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2009,01010001,ALBANY CITY SD,KIMBERLY WILKINS,100 ELBEL CT,ALBANY,5184756425,6-8,53,0,0,1,2,1,2,3,6,206,2,259,5,2,0,6,5,2,0,0,1,0,1,0
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2010,01010001,ALBANY CITY SD,KIMBERLY WILKINS,100 ELBEL CT,ALBANY,5184756425,6-8,64,0,0,1,2,1,2,4,6,210,0,268,7,3,0,4,5,4,0,0,1,0,1,0
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2011,01010001,ALBANY CITY SD,KIMBERLY WILKINS,100 ELBEL CT,ALBANY,5184756425,6-8,63,0,0,1,2,1,2,4,6,204,3,297,6,2,0,3,7,4,0,0,1,0,1,0
010100860005,NEW COVENANT CHARTER SCHOOL,2009,,,JECROIS JEAN-BAPTISTE,50 N LARK ST,ALBANY,5184633912,K-6,33,2,6,2,6,7,21,5,15,50,2,59,2,3,69,50,22,3,0,0,0,0,1,0
010100860005,NEW COVENANT CHARTER SCHOOL,2010,,,JECROIS JEAN-BAPTISTE,50 N LARK ST,ALBANY,5184633912,K-6,40,4,10,4,10,10,25,4,10,30,0,43,5,12,23,27,8,2,0,0,0,0,1,0
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2009,,,DARRYL WILLIAMS,116 N LAKE AVE,ALBANY,5186948200,K-4,17,2,12,2,12,4,24,1,6,39,0,44,5,11,20,21,11,2,0,0,0,0,1,0
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2010,,,DARRYL WILLIAMS,116 N LAKE AVE,ALBANY,5186948200,K-4,18,1,6,1,6,5,28,1,6,35,0,39,2,5,36,41,10,0,0,0,1,0,1,0
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2011,,,DARRYL WILLIAMS,116 N LAKE AVE,ALBANY,5186948200,K-4,20,0,0,3,15,2,10,3,15,27,26,33,10,30,10,13,7,2,0,0,1,0,1,0
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2011,,,DEAH BURNHAM POSTIGLION,250 CENTRAL AVE,ALBANY,5186944100,K-4,22,0,0,3,14,2,9,0,0,37,3,42,3,7,0,10,9,2,0,0,1,0,1,0
010100860830,BRIGHTER CHOICE SCHOOL FOR GIRLS,2009,,,DEAH BURNHAM,250 CENTRAL AVE,ALBANY,5186944100,K-4,17,1,6,1,6,2,12,0,0,19,5,20,1,5,33,25,7,0,0,0,1,0,1,0
010100860830,BRIGHTER CHOICE SCHOOL FOR GIRLS,2010,,,DEAH BURNHAM,250 CENTRAL AVE,ALBANY,5186944100,K-4,20,1,5,1,5,1,5,0,0,25,0,36,1,3,14,18,8,0,0,0,1,0,1,0
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2009,,,DAN CEASER,1 DUDLEY HEIGHTS,ALBANY,5186949494,5-8,17,3,18,3,18,9,53,1,6,17,6,22,4,18,44,40,6,0,0,0,1,0,1,0
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2010,,,DAN CEASER,1 DUDLEY HEIGHTS,ALBANY,5186949494,5-8,21,6,29,6,29,9,43,1,5,24,33,28,9,32,17,18,7,0,0,0,0,0,1,0
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2011,,,DUSTIN MITCHELL,1 DUDLEY HEIGHTS,ALBANY,5186949494,5-8,20,0,0,6,30,7,35,1,5,20,30,29,12,41,21,15,8,0,0,0,0,0,1,0
010100860876,ACHIEVEMENT ACADEMY CHARTER SCHOOL,2009,,,O'RITA SWAN,42 S DOVE ST,ALBANY,5185331601,5-8,16,6,38,6,38,5,31,2,13,36,3,46,14,30,,,9,1,0,0,0,0,1,0
010100860876,ACHIEVEMENT ACADEMY CHARTER SCHOOL,2010,,,O'RITA SWAN,42 S DOVE ST,ALBANY,5185331601,5-8,17,5,29,5,29,6,35,2,12,49,33,70,20,29,,,11,0,0,0,1,0,1,0
010100860876,ACHIEVEMENT ACADEMY CHARTER SCHOOL,2011,,,O'RITA SWAN,42 S DOVE ST,ALBANY,5185331601,5-8,16,0,0,5,31,4,25,2,13,21,0,36,10,28,44,41,9,1,0,0,0,0,1,0
010100860884,ALBANY PREPARATORY CHARTER SCHOOL,2009,,,CAROL LENNON,50 SUMMIT AVE,ALBANY,5186945005,5-8,13,1,8,1,8,8,62,0,0,48,0,52,3,6,,50,8,2,0,0,1,0,1,0
010100860884,ALBANY PREPARATORY CHARTER SCHOOL,2010,,,ERIN O'MEARA,50 SUMMIT AVE,ALBANY,5186945005,5-8,16,0,0,0,0,8,50,1,6,46,0,55,0,0,0,8,11,0,0,0,0,0,1,0
010100860884,ALBANY PREPARATORY CHARTER SCHOOL,2011,,,ERIN O'MEARA,50 SUMMIT AVE,ALBANY,5186945005,5-8,17,0,0,3,18,3,18,2,12,51,0,69,9,13,9,19,10,0,0,0,2,0,1,0
010100860892,HENRY JOHNSON CHARTER SCHOOL,2009,,,LILLIAN TURNER,30 WATERVLIET AVE,ALBANY,5184324300,K-2,14,0,0,0,0,3,21,0,0,30,0,42,0,0,0,8,1,0,0,0,1,0,1,0
010100860892,HENRY JOHNSON CHARTER SCHOOL,2010,,,LILLIAN TURNER,30 WATERVLIET AVE,ALBANY,5184324300,K-3,19,0,0,0,0,4,21,0,0,23,0,55,0,0,0,14,1,0,0,0,1,0,1,0
010100860892,HENRY JOHNSON CHARTER SCHOOL,2011,,,LILLIAN TURNER,30 WATERVLIET AVE,ALBANY,5184324300,K-4,25,0,0,1,4,7,28,0,0,30,0,71,1,1,14,16,3,0,0,0,1,0,1,0
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2009,,,S NEAL CURRIE,65 KRANK ST,ALBANY,5184331500,K-3,14,1,7,1,7,3,21,0,0,26,0,34,1,3,13,27,5,0,0,0,1,0,1,0
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2010,,,S NEAL CURRIE,65 KRANK ST,ALBANY,5184331500,K-4,19,2,11,2,11,3,16,1,5,20,0,32,2,6,22,14,6,0,0,0,1,0,1,0
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2011,,,S NEAL CURRIE,65 KRANK ST,ALBANY,5184331500,K-4,22,0,0,2,9,4,18,2,9,18,0,30,2,7,10,5,6,1,0,0,1,0,1,0
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2009,,,JOHN TAYLOR,321 NORTHERN BLVD,ALBANY,5186943400,9,6,1,17,1,17,3,50,0,0,7,0,8,3,38,,,4,1,0,0,0,0,1,0
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2010,,,JOHN TAYLOR,321 NORTHERN BLVD,ALBANY,5186943400,9-10,14,0,0,0,0,6,43,2,14,55,0,67,0,0,,,7,0,0,0,0,0,1,0
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2011,,,JOHN TAYLOR,321 NORTHERN BLVD,ALBANY,5186943400,9-11,20,0,0,0,0,7,35,5,25,78,0,98,0,0,8,7,7,0,0,0,0,0,1,0
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2011,,,MELISSA JARVIS CEDENO,19 HACKETT BLVD,ALBANY,5186945300,9-10,12,0,0,1,8,12,100,2,17,19,0,23,2,9,,,6,2,0,0,1,0,1,0
010100860976,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,2011,,,DARRYL WILLIAMS,116 N LAKE AVE,ALBANY,5186945550,5,7,0,0,2,29,1,14,1,14,23,0,28,6,21,,,1,2,0,0,0,0,0,1
010100860977,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,2011,,,VANESSA THREATTE,250 CENTRAL AVE,ALBANY,5186945550,5,6,0,0,2,33,3,50,0,0,18,6,23,4,17,,,2,3,0,0,0,0,1,0
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2009,01020104,BERNE-KNOX-WESTERLO CSD,STEVEN SCHRADE,1738 HELDERBERG TRAIL,BERNE,5188721293,PK-12,92,0,0,0,0,6,7,14,15,290,0,394,5,1,11,3,9,0,28,0,1,0,2,0
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2010,01020104,BERNE-KNOX-WESTERLO CSD,KIMBERLY LABELLE,1738 HELDERBERG TRAIL,BERNE,5188721293,"PK-12, UE, US",86,1,1,2,2,6,7,16,19,263,2,360,12,3,13,15,11,0,28,0,0,0,2,0
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2011,01020104,BERNE-KNOX-WESTERLO CSD,PAUL DORWARD,1738 HELDERBERG TRAIL,BERNE,5188721293,"PK-12, US",77,0,0,0,0,5,6,15,19,212,0,277,0,0,55,18,11,1,25,0,0,0,2,0
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2009,01020104,BERNE-KNOX-WESTERLO CSD,ROBERT DRAKE,1738 HELDERBERG TRAIL,BERNE,5188721482,6-12,55,0,0,0,0,3,5,10,18,211,0,296,3,1,20,5,5,0,0,0,1,0,1,0
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2010,01020104,BERNE-KNOX-WESTERLO CSD,THOMAS MCGURL,1738 HELDERBERG TRAIL,BERNE,5188721482,"7-12, US",54,1,2,2,4,3,6,11,20,197,3,277,12,4,25,11,7,0,0,0,0,0,1,0
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2011,01020104,BERNE-KNOX-WESTERLO CSD,THOMAS MCGURL,1738 HELDERBERG TRAIL,BERNE,5188721482,"6-12, US",49,0,0,0,0,3,6,11,22,156,0,212,0,0,80,20,6,0,0,0,0,0,1,0
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2009,01020104,BERNE-KNOX-WESTERLO CSD,BRIAN COREY,1738 HELDERBERG TRAIL,BERNE,5188722030,PK-5,32,0,0,0,0,3,9,4,13,55,0,74,0,0,0,0,2,0,0,0,0,0,1,0
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2010,01020104,BERNE-KNOX-WESTERLO CSD,BRIAN COREY,1738 HELDERBERG TRAIL,BERNE,5188722030,"PK-6, UE",28,0,0,0,0,2,7,4,14,53,0,66,0,0,0,22,2,0,0,0,0,0,1,0
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2011,01020104,BERNE-KNOX-WESTERLO CSD,BRIAN COREY,1738 HELDERBERG TRAIL,BERNE,5188722030,PK-5,26,0,0,0,0,2,8,4,15,49,0,58,0,0,33,11,3,0,0,0,0,0,1,0
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2009,01030606,BETHLEHEM CSD,MICHAEL TEBBANO,90 ADAMS PL,DELMAR,5184397098,"K-12, US",405,3,1,5,1,25,6,58,14,1087,2,1407,22,2,13,15,57,3,37,108,3,0,8,0
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2010,01030606,BETHLEHEM CSD,MICHAEL TEBBANO,90 ADAMS PL,DELMAR,5184397098,"K-12, US",402,0,0,1,0,13,3,54,13,1061,0,1434,8,1,33,14,95,18,39,108,2,0,8,0
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2011,01030606,BETHLEHEM CSD,MICHAEL TEBBANO,90 ADAMS PL,DELMAR,5184397098,"K-12, US",386,0,0,0,0,11,3,56,15,1008,0,1379,0,0,36,16,43,3,35,104,2,0,8,0
010306060001,CLARKSVILLE ELEMENTARY SCHOOL,2009,01030606,BETHLEHEM CSD,DOROTHY MCDONALD,58 VERDA LN,CLARKSVILLE,5187682318,K-5,14,0,0,0,0,2,14,3,21,18,6,20,1,5,20,29,1,0,0,0,0,0,1,0
010306060001,CLARKSVILLE ELEMENTARY SCHOOL,2010,01030606,BETHLEHEM CSD,DOROTHY MCDONALD,58 VERDA LN,CLARKSVILLE,5187682318,K-5,14,0,0,0,0,2,14,3,21,17,0,19,0,0,0,7,1,0,0,0,0,0,1,0
010306060001,CLARKSVILLE ELEMENTARY SCHOOL,2011,01030606,BETHLEHEM CSD,DOROTHY MCDONALD,58 VERDA LN,CLARKSVILLE,5187682318,K-5,17,0,0,0,0,2,12,4,24,22,0,35,0,0,50,21,1,0,0,0,0,0,1,0
010306060003,ELSMERE ELEMENTARY SCHOOL,2009,01030606,BETHLEHEM CSD,KATHERINE KLOSS,247 DELAWARE AVE,DELMAR,5184394996,K-5,21,0,0,0,0,0,0,2,10,28,0,42,0,0,0,13,1,0,0,0,0,0,1,0
010306060003,ELSMERE ELEMENTARY SCHOOL,2010,01030606,BETHLEHEM CSD,KATHERINE KLOSS,247 DELAWARE AVE,DELMAR,5184394996,K-5,16,0,0,0,0,0,0,1,6,19,0,27,0,0,,25,4,0,0,0,0,0,1,0
010306060003,ELSMERE ELEMENTARY SCHOOL,2011,01030606,BETHLEHEM CSD,KATHERINE KLOSS,247 DELAWARE AVE,DELMAR,5184394996,K-5,15,0,0,0,0,0,0,1,7,23,0,28,0,0,,13,4,0,0,0,0,0,1,0
010306060004,GLENMONT ELEMENTARY SCHOOL,2009,01030606,BETHLEHEM CSD,LAURA HEFFERNAN,328 RT 9W,GLENMONT,5184631154,K-5,28,0,0,0,0,2,7,2,7,39,0,59,0,0,20,21,1,0,0,0,0,0,1,0
010306060004,GLENMONT ELEMENTARY SCHOOL,2010,01030606,BETHLEHEM CSD,LAURA HEFFERNAN,328 RT 9W,GLENMONT,5184631154,K-5,27,0,0,0,0,2,7,1,4,33,0,57,0,0,67,18,1,0,0,0,0,0,1,0
