NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,,CONDITION
3.60002E+11,3600018,CHAUTAUQUA COUNTY JAIL,36,15 EAST CHAUTAUQUA ST,MAYVILLE,NY,14757,36,36013,Chautauqua County,42,42.2545,-79.5039,27460,"Jamestown-Dunkirk-Fredonia, NY",2,N,N,N,N,3623,36150,36057,2021-2022,,
3.60002E+11,3600019,UNADILLA VALLEY SECONDARY SCHOOL,36,4238 STATE HWY 8,NEW BERLIN,NY,13411,36,36017,Chenango County,42,42.581228,-75.334456,N,N,0,N,N,N,N,3622,36122,36051,2021-2022,,
3.60002E+11,3600019,UNADILLA VALLEY ELEMENTARY SCHOOL,36,4238 STATE HWY 8,NEW BERLIN,NY,13411,36,36017,Chenango County,42,42.581228,-75.334456,N,N,0,N,N,N,N,3622,36122,36051,2021-2022,,
3.60002E+11,3600020,CAMPBELL-SAVONA ELEMENTARY SCHOOL,36,64 E LAMOKA AVE,SAVONA,NY,14879,36,36101,Steuben County,42,42.2883,-77.2137,18500,"Corning, NY",2,236,"Elmira-Corning, NY",N,N,3623,36132,36058,2021-2022,,
3.60002E+11,3600020,CAMPBELL-SAVONA JUNIOR/SENIOR HIGH SCHOOL,36,8455 COUNTY RT 125,CAMPBELL,NY,14821,36,36101,Steuben County,42,42.2361,-77.2002,18500,"Corning, NY",2,236,"Elmira-Corning, NY",N,N,3623,36132,36058,2021-2022,,
3.60002E+11,3600021,MATTITUCK JUNIOR-SENIOR HIGH SCHOOL,36,15125 MAIN RD,MATTITUCK,NY,11952,36,36103,Suffolk County,21,40.995538,-72.5276,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3601,36002,36001,2021-2022,,
3.60002E+11,3600021,MATTITUCK-CUTCHOGUE ELEMENTARY SCHOOL,36,34900 MAIN RD,CUTCHOGUE,NY,11935,36,36103,Suffolk County,21,41.026,-72.4716,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3601,36002,36001,2021-2022,,
3.60002E+11,3600023,SULLIVAN WEST HIGH SCHOOL AT LAKE HUNTINGTON,36,6604 STATE RT 52,LAKE HUNTINGTON,NY,12752,36,36105,Sullivan County,42,41.6911,-74.9903,N,N,0,N,N,N,N,3619,36100,36042,2021-2022,,
3.60002E+11,3600023,SULLIVAN WEST ELEMENTARY SCHOOL,36,33 SCHOOLHOUSE RD,JEFFERSONVILLE,NY,12748,36,36105,Sullivan County,42,41.7799,-74.9401,N,N,0,N,N,N,N,3619,36100,36042,2021-2022,,
3.60002E+11,3600024,CATTARAUGUS-LITTLE VALLEY ELEMENTARY SCHOOL,36,25 N FRANKLIN ST,CATTARAUGUS,NY,14719,36,36009,Cattaraugus County,42,42.33387,-78.859686,36460,"Olean, NY",2,160,"Buffalo-Cheektowaga-Olean, NY",N,N,3623,36148,36057,2021-2022,,
3.60002E+11,3600024,CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL,36,25 N FRANKLIN ST,CATTARAUGUS,NY,14719,36,36009,Cattaraugus County,42,42.33387,-78.859686,36460,"Olean, NY",2,160,"Buffalo-Cheektowaga-Olean, NY",N,N,3623,36148,36057,2021-2022,,
3.60002E+11,3600024,CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL,36,25 N FRANKLIN ST,CATTARAUGUS,NY,14719,36,36009,Cattaraugus County,42,42.33387,-78.859686,36460,"Olean, NY",2,160,"Buffalo-Cheektowaga-Olean, NY",N,N,3623,36148,36057,2021-2022,,
3.60002E+11,3600024,CATTARAUGUS COUNTY JAIL,36,301 COURT ST,LITTLE VALLEY,NY,14755,36,36009,Cattaraugus County,42,42.252126,-78.800333,36460,"Olean, NY",2,160,"Buffalo-Cheektowaga-Olean, NY",N,N,3623,36148,36057,2021-2022,,
3.60003E+11,3600025,CHARTER SCHOOL FOR APPLIED TECHNOLOGIES,36,2303 KENMORE AVE,BUFFALO,NY,14207,36,36029,Erie County,21,42.967545,-78.899355,15380,"Buffalo-Cheektowaga, NY",1,160,"Buffalo-Cheektowaga-Olean, NY",N,N,3626,36140,36060,2021-2022,,
3.60003E+11,3600026,EUGENIO MARIA DE HOSTOS CHARTER SCHOOL,36,27 ZIMBRICH ST,ROCHESTER,NY,14621,36,36055,Monroe County,12,43.1829,-77.6095,40380,"Rochester, NY",1,464,"Rochester-Batavia-Seneca Falls, NY",N,N,3625,36137,36056,2021-2022,,
3.60003E+11,3600029,GENESEE COMMUNITY CHARTER SCHOOL,36,657 EAST AVE,ROCHESTER,NY,14607,36,36055,Monroe County,12,43.151562,-77.588718,40380,"Rochester, NY",1,464,"Rochester-Batavia-Seneca Falls, NY",N,N,3625,36138,36055,2021-2022,,
3.60003E+11,3600030,ROOSEVELT CHILDREN'S ACADEMY CHARTER SCHOOL,36,105 PLEASANT AVE,ROOSEVELT,NY,11575,36,36059,Nassau County,21,40.6744,-73.5848,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3604,36018,36008,2021-2022,,
3.60003E+11,3600032,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,36,116 N LAKE AVE,ALBANY,NY,12206,36,36001,Albany County,13,42.664112,-73.770124,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3620,36108,36044,2021-2022,,
3.60003E+11,3600033,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,36,250 CENTRAL AVE,ALBANY,NY,12206,36,36001,Albany County,13,42.6631,-73.7712,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3620,36108,36044,2021-2022,,
3.60004E+11,3600035,KING CENTER CHARTER SCHOOL,36,156 NEWBURGH AVE,BUFFALO,NY,14211,36,36029,Erie County,11,42.918918,-78.809205,15380,"Buffalo-Cheektowaga, NY",1,160,"Buffalo-Cheektowaga-Olean, NY",N,N,3626,36141,36063,2021-2022,,
3.60004E+11,3600036,SOUTH BUFFALO CHARTER SCHOOL,36,154 S OGDEN ST,BUFFALO,NY,14210,36,36029,Erie County,11,42.863002,-78.803501,15380,"Buffalo-Cheektowaga, NY",1,160,"Buffalo-Cheektowaga-Olean, NY",N,N,3626,36142,36063,2021-2022,,
3.60004E+11,3600038,TAPESTRY CHARTER SCHOOL,36,65 GREAT ARROW AVE,BUFFALO,NY,14216,36,36029,Erie County,11,42.942751,-78.870338,15380,"Buffalo-Cheektowaga, NY",1,160,"Buffalo-Cheektowaga-Olean, NY",N,N,3626,36149,36060,2021-2022,,
3.60004E+11,3600039,AMBER CHARTER SCHOOL EAST HARLEM,36,220 E 106TH ST,NEW YORK,NY,10029,36,36061,New York County,11,40.7909,-73.9439,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3613,36068,36029,2021-2022,,
3.60004E+11,3600042,BRONX PREPARATORY CHARTER SCHOOL,36,3872 3RD AVE,BRONX,NY,10457,36,36005,Bronx County,11,40.839,-73.9001,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3615,36079,36033,2021-2022,,
3.60005E+11,3600045,BROOKLYN CHARTER SCHOOL (THE),36,545 WILLOUGHBY AVE,BROOKLYN,NY,11206,36,36047,Kings County,11,40.694396,-73.947604,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3608,36056,36025,2021-2022,,
3.60005E+11,3600046,COMMUNITY PARTNERSHIP CHARTER SCHOOL,36,241 EMERSON PL,BROOKLYN,NY,11205,36,36047,Kings County,11,40.690015,-73.961082,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3608,36057,36025,2021-2022,,
3.60005E+11,3600047,HARBOR SCIENCE AND ARTS CHARTER SCHOOL,36,132-142 E 111TH ST,NEW YORK,NY,10029,36,36061,New York County,11,40.79554,-73.944543,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3613,36068,36029,2021-2022,,
3.60005E+11,3600048,HARRIET TUBMAN CHARTER SCHOOL,36,3565 3RD AVE,BRONX,NY,10456,36,36005,Bronx County,11,40.8322,-73.9056,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3615,36079,36032,2021-2022,,
3.60005E+11,3600049,ICAHN CHARTER SCHOOL 1,36,1525 BROOK AVE,BRONX,NY,10457,36,36005,Bronx County,11,40.8392,-73.9051,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3615,36077,36033,2021-2022,,
3.60005E+11,3600053,JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL,36,17 BATTERY PL,NEW YORK,NY,10004,36,36061,New York County,11,40.7056,-74.0158,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3610,36065,36026,2021-2022,,
3.60005E+11,3600054,KIPP ACADEMY CHARTER SCHOOL,36,250 E 156TH ST-4TH FL,BRONX,NY,10451,36,36005,Bronx County,11,40.822681,-73.921556,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3615,36079,36029,2021-2022,,
3.60006E+11,3600055,MERRICK ACADEMY-QUEENS PUBLIC CHARTER SCHOOL,36,136-25 218TH ST,SPRINGFIELD GARDENS,NY,11413,36,36081,Queens County,11,40.676288,-73.75307,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3605,36029,36014,2021-2022,,
3.60006E+11,3600057,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,36,36-12 35TH AVE,ASTORIA,NY,11106,36,36081,Queens County,11,40.7558,-73.9242,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3612,36030,36012,2021-2022,,
3.60006E+11,3600059,RENAISSANCE CHARTER SCHOOL,36,35-59 81ST ST,JACKSON HEIGHTS,NY,11372,36,36081,Queens County,11,40.749939,-73.885039,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3614,36039,36013,2021-2022,,
3.60006E+11,3600060,RIVERHEAD CHARTER SCHOOL,36,3685 MIDDLE COUNTRY RD,CALVERTON,NY,11933,36,36103,Suffolk County,41,40.925282,-72.744546,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3601,36002,36001,2021-2022,,
